Date,Price,Open,High,Low,Vol.,Change %
2020-09-29,31636.0,32297.5,32647.7,31597.1,2.54M,-1.57%
2020-09-30,31752.7,31674.9,31830.5,31519.2,1.17M,0.37%
2020-10-01,31869.5,31752.7,32025.1,31752.7,1.46M,0.37%
2020-10-02,31636.0,31908.4,32258.6,29962.7,2.21M,-0.73%
2020-10-05,31441.4,31908.4,31908.4,31285.8,1.97M,-0.62%
2020-10-06,31480.3,31558.2,31752.7,31363.6,1.90M,0.12%
2020-10-07,31480.3,31441.4,31830.5,31363.6,1.48M,0.00%
2020-10-08,31441.4,31597.1,31636.0,30974.5,2.38M,-0.12%
2020-10-09,31402.5,31363.6,31519.2,31207.9,1.07M,-0.12%
2020-10-12,31869.5,32375.3,32647.7,31674.9,4.44M,1.49%
2020-10-13,32102.9,31908.4,32569.9,31597.1,2.49M,0.73%
2020-10-14,33387.1,32531.0,33426.0,32297.5,8.58M,4.00%
2020-10-15,32881.2,33815.1,33815.1,32842.3,3.72M,-1.52%
2020-10-16,32842.3,32881.2,33620.5,32531.0,3.03M,-0.12%
2020-10-19,32608.8,33036.8,33036.8,32453.1,3.38M,-0.71%
2020-10-20,32686.6,32297.5,33075.7,32297.5,2.42M,0.24%
2020-10-21,32959.0,32997.9,33854.0,32803.4,3.80M,0.83%
2020-10-22,33426.0,32920.1,33426.0,32608.8,2.18M,1.42%
2020-10-23,33309.2,33776.2,33776.2,33309.2,2.44M,-0.35%
2020-10-26,31908.4,33075.7,33464.9,31908.4,4.25M,-4.21%
2020-10-27,31674.9,31908.4,32297.5,31674.9,3.32M,-0.73%
2020-10-28,30585.3,31519.2,31674.9,30585.3,3.65M,-3.44%
2020-10-29,30079.5,30196.2,30741.0,29923.8,3.55M,-1.65%
2020-10-30,29962.7,30351.9,30507.5,29690.3,2.11M,-0.39%
2020-11-02,30274.0,29962.7,30429.7,29962.7,1.36M,1.04%
2020-11-03,30663.2,30351.9,30741.0,30351.9,1.30M,1.29%
2020-11-04,30935.6,30663.2,31207.9,30624.3,1.36M,0.89%
2020-11-05,30390.8,30935.6,30935.6,30390.8,1.61M,-1.76%
2020-11-06,30390.8,30702.1,30702.1,30235.1,813.30K,0.00%
2020-11-09,30546.4,30702.1,30702.1,30429.7,1.49M,0.51%
2020-11-10,30663.2,31013.4,31130.1,30663.2,1.71M,0.38%
2020-11-11,30663.2,30663.2,30857.7,30468.6,910.40K,0.00%
2020-11-12,30818.8,30741.0,30974.5,30663.2,1.42M,0.51%
2020-11-13,31363.6,30896.6,31363.6,30857.7,2.31M,1.77%
2020-11-16,31052.3,31402.5,31752.7,31052.3,2.44M,-0.99%
2020-11-17,31363.6,31130.1,31363.6,30935.6,1.83M,1.00%
2020-11-18,31169.0,31363.6,31402.5,31130.1,1.98M,-0.62%
2020-11-19,31441.4,31207.9,31752.7,31207.9,2.25M,0.87%
2020-11-20,32064.0,31674.9,32102.9,31674.9,3.17M,1.98%
2020-11-23,31986.2,32297.5,32297.5,31558.2,1.65M,-0.24%
2020-11-24,31674.9,31947.3,31986.2,31441.4,2.46M,-0.97%
2020-11-25,32141.8,31908.4,32258.6,31558.2,3.49M,1.47%
2020-11-26,33153.6,32141.8,33153.6,31908.4,5.48M,3.15%
2020-11-27,33036.8,33309.2,33348.1,32725.5,2.92M,-0.35%
2020-11-30,32453.1,33036.8,33075.7,32453.1,2.15M,-1.77%
2020-12-01,32453.1,31908.4,32531.0,31752.7,3.66M,0.00%
2020-12-02,32297.5,32492.1,32686.6,32219.7,2.31M,-0.48%
2020-12-03,32375.3,32336.4,32608.8,32219.7,2.31M,0.24%
2020-12-04,32414.2,32375.3,32920.1,32297.5,3.22M,0.12%
2020-12-07,33464.9,32686.6,33620.5,32569.9,5.18M,3.24%
2020-12-08,33231.4,33698.4,33698.4,33036.8,2.71M,-0.70%
2020-12-09,34087.5,33387.1,34243.1,33270.3,4.63M,2.58%
2020-12-10,34204.2,34087.5,34865.7,34009.7,4.82M,0.34%
2020-12-11,35644.0,34165.3,35644.0,33931.8,5.74M,4.21%
2020-12-14,36188.8,35916.4,36227.7,35682.9,3.69M,1.53%
2020-12-15,35877.5,35916.4,36577.9,35682.9,4.30M,-0.86%
2020-12-16,36889.2,35877.5,36928.1,35877.5,3.89M,2.82%
2020-12-17,36110.9,36422.2,37044.8,36110.9,4.90M,-2.11%
2020-12-18,36577.9,36344.4,36967.0,36110.9,3.06M,1.29%
2020-12-21,36928.1,37356.1,37356.1,36188.8,3.11M,0.96%
